target intra.RMSE intra.R2 multi.RMSE multi.R2 p.RMSE p.R2
ASCT2 0.0437720328849332 78.8915080474495 0.0436423594751722 79.0342230257738 0.469053457743559 0.466621966995396
CD14 0.0488454481644155 77.657918791506 0.048804604150905 77.7072724488618 0.490253805954604 0.492483959104228
ATP5A 0.0484671082339603 85.9930226149232 0.0483203356310189 86.0671097595876 0.475926754828091 0.477051994473495
CD11c 0.0605551373385509 33.6064897544139 0.0590017378243254 36.8061027004656 0.296286332787957 0.275381269808283
CD31 0.0684275865060016 56.658591904034 0.0681780004759993 57.0962964242068 0.463744998926871 0.463648779711215
CD39 0.0420870280273079 87.8014188982741 0.0420585241321944 87.8286064154312 0.493892208951139 0.490858083212928
CD36 0.0388451128422708 57.0416554072795 0.0380830448243444 58.7900062106303 0.393290139853141 0.343879122850436
CD4 0.0425901101086089 82.3272691420075 0.042567258561829 82.3584574981884 0.495464568096984 0.492118171232362
CD68 0.0587056967413822 76.9608550977436 0.0585780154578106 77.0471450016867 0.474117784480446 0.479484274004445
CD3 0.0490072821096606 69.2682902946624 0.0488515901502373 69.4662676456314 0.454223200465777 0.446388613703172
CD8 0.0583896510548597 65.984148556334 0.0580483811184177 66.3741299013295 0.441481625947169 0.429057808412698
CD45 0.0429577613094235 84.2510356005706 0.0429910807257286 84.2353935514336 0.506218137505027 0.503808611911145
CD98 0.0437194000309456 84.248726607657 0.0432659700503911 84.568090677623 0.308342402395951 0.326374998335956
H3 0.0520715548385007 80.2020221407278 0.0519701728070834 80.3116426690636 0.485482478086058 0.479450122334112
CS 0.0462237604068362 81.6449563347702 0.0460941411119712 81.7604241636458 0.477241642834858 0.478122978628253
LDHA 0.0507613819054956 77.1646616375283 0.0505945260156278 77.2870599586657 0.464364881774656 0.473326117687935
HK1 0.0368975468492564 65.8836254879603 0.0365018240941102 66.6099237397137 0.39639278169913 0.397651159663579
G6PD 0.051618514430952 60.7584489862827 0.0516112644258782 60.7872222121868 0.498665156822717 0.496018580614892
Ecad 0.0383763106924365 92.2698426119957 0.0381947905761322 92.353664367398 0.45619657888009 0.450477838552025
CK 0.0394714726757605 92.532331787288 0.0395413284062201 92.5061025253529 0.520901009616715 0.521081420113534
VDAC1 0.0484868936227163 72.9520616382058 0.0485224434413798 72.9159231991025 0.506660407311756 0.505085642299956
PKM2 0.0364231761054186 59.7528290313951 0.0361381626606384 60.3164772976231 0.441476584217917 0.421587553389904
CD57 0.0596618458565741 26.519760502073 0.0589496672325413 28.1957235048814 0.348088134344981 0.312398614031845
HIF1A 0.0570913996307822 85.7110266864077 0.0549756035671201 86.7164588194669 0.197169695286017 0.199713324563544
IDH2 0.0448510261402812 89.2029312981012 0.044797662926484 89.2249597909206 0.487602531748065 0.4908445077165
NaKATPase 0.0404139365757835 91.0074541749232 0.040428888513517 91.0009147334534 0.503302946751278 0.504109860493139
SDHA 0.0479010371168052 89.8364498124581 0.0479422458374015 89.8191180015167 0.505763099128038 0.505454361240925
NRF2p 0.0414096799620273 89.2292241007804 0.0414422270320074 89.2115927113227 0.507492420479463 0.506847965035137
CPT1A 0.0464348522025849 92.6172490030683 0.0465118825064936 92.5921524901854 0.516127295698371 0.51437904733903
S6p 0.0458138839541116 91.4162429065836 0.0452964433824083 91.6199909078194 0.364386352966433 0.361295044107228
XBP1 0.0519648655577025 63.1940598185369 0.0520504361790369 63.0767014654305 0.512600212565579 0.513494873508453
Ki67 0.0586789063900478 69.3910893871164 0.058289812155325 69.8007669027183 0.433850469866787 0.420095815982687
PD1 0.0490723617745154 70.9368775070148 0.0490101201547368 71.0451201121599 0.489162769777076 0.486713819690693
SMA 0.0439083201523039 77.5967030521989 0.0428310751363973 78.7146468672011 0.301243028774968 0.268491058766935
GLUT1 0.0467234633153632 82.8967898935682 0.0465926259998274 83.0093392573619 0.457629663908532 0.465149777446304
vimentin 0.0480499784392529 87.9842504914235 0.0477628002750921 88.1308220098611 0.421160601747913 0.426331023323109
