target intra.RMSE intra.R2 multi.RMSE multi.R2 p.RMSE p.R2
Imm_other 0.182770557139044 0 0.167669527232731 17.6525807173636 0.132541323390704 0.00314250204869026
Tcell_CD8 0.155867973007407 0 0.139997026414887 20.1814689767175 0.121331610111979 0.000301563276288131
Tcell_CD4 0.367382698215612 0 0.270554496149189 45.284450524561 1.34145148335267e-08 2.24516020845429e-08
Fibroblast 0.380835119763886 0 0.337273144352696 19.5594673361031 0.00513732432634157 3.33356075493617e-05
Epithelial 0.0984629525333565 0 0.0993278549695551 0.952055403946834 0.515362202658644 0.0756042443146789
Myeloid_CD11c 0.184856505805762 0 0.174209520659605 10.7864073259279 0.291536375831421 0.0138988181955738
Endothelial 0.452218039236138 0 0.421209322766273 12.3961869256343 0.00483046030911197 7.01957270170603e-05
Myeloid_CD68 0.440721808166599 0 0.344740826499661 37.7174171889459 5.97895700412841e-07 1.53724943819796e-06
