,loss,custom_mae,custom_mean_sd,custom_mse,custom_mse_scaled,gaussian_reconstruction_loss,r_squared,r_squared_linreg,run
0,16.993789672851562,0.15236550569534302,0.6059245467185974,0.039729248732328415,0.10823279619216919,16.993791580200195,0.4902755618095398,0.5929292440414429,0.0
1,16.902565002441406,0.1511261910200119,0.6055291295051575,0.03829895332455635,0.10447001457214355,16.90256690979004,0.5096306204795837,0.5886769890785217,0.0
2,16.98951530456543,0.15278996527194977,0.6062111258506775,0.039370499551296234,0.10705223679542542,16.9895076751709,0.49538207054138184,0.5939952731132507,0.0
3,16.90986442565918,0.15055441856384277,0.6057512760162354,0.03820086643099785,0.10413279384374619,16.90985679626465,0.511371910572052,0.5895444750785828,0.0
4,16.975536346435547,0.15376543998718262,0.6058433055877686,0.03944183513522148,0.10747695714235306,16.97554588317871,0.4931507706642151,0.5898092985153198,0.0
5,16.90922737121582,0.15023623406887054,0.6057413816452026,0.038206055760383606,0.10413867235183716,16.90921974182129,0.5106282830238342,0.5986202955245972,0.0
6,16.990890502929688,0.15374651551246643,0.6056724190711975,0.03993259742856026,0.1089051216840744,16.99088478088379,0.4894304573535919,0.5889418721199036,0.0
7,16.973337173461914,0.1518239825963974,0.6057660579681396,0.03947163000702858,0.10761277377605438,16.973346710205078,0.4939716160297394,0.5946890711784363,0.0
8,16.967010498046875,0.1533239483833313,0.6056013107299805,0.039519257843494415,0.10778728127479553,16.967010498046875,0.4947812855243683,0.5825504660606384,0.0
9,17.05912208557129,0.1540001779794693,0.6064983606338501,0.04048750549554825,0.10997864603996277,17.05912208557129,0.4781149625778198,0.5915226340293884,0.0
10,16.976430892944336,0.15272147953510284,0.6058250069618225,0.0395035445690155,0.10760196298360825,16.97641944885254,0.49267226457595825,0.5964451432228088,0.0
11,16.876144409179688,0.14771303534507751,0.6058050990104675,0.037462130188941956,0.10207469016313553,16.876140594482422,0.5192632079124451,0.6017688512802124,0.0
12,17.022493362426758,0.15448658168315887,0.6057103872299194,0.04054727777838707,0.11053887754678726,17.022491455078125,0.4804789125919342,0.5793527364730835,0.0
13,16.895076751708984,0.14970926940441132,0.6058371067047119,0.037812259048223495,0.10302040725946426,16.89508819580078,0.5132533311843872,0.594395101070404,0.0
14,16.883506774902344,0.1478329598903656,0.6060265302658081,0.03736696019768715,0.10175860673189163,16.88351058959961,0.5198187828063965,0.6062537431716919,0.0
15,16.981847763061523,0.15270236134529114,0.6058428287506104,0.03958076611161232,0.10783012211322784,16.981836318969727,0.49175143241882324,0.5895682573318481,0.001
16,17.036752700805664,0.15645182132720947,0.6056845188140869,0.040857333689928055,0.11139260232448578,17.036754608154297,0.47608017921447754,0.5746076107025146,0.001
17,16.979934692382812,0.1530810296535492,0.6057518720626831,0.039628975093364716,0.10801811516284943,16.979948043823242,0.49198371171951294,0.5886619091033936,0.001
18,17.001710891723633,0.15239356458187103,0.6060464382171631,0.03978037089109421,0.10827717185020447,17.001728057861328,0.4877515435218811,0.5806466937065125,0.001
19,16.931066513061523,0.15107175707817078,0.6059063076972961,0.038466740399599075,0.10478872805833817,16.931072235107422,0.5056569576263428,0.5817316174507141,0.001
20,16.98493194580078,0.15210382640361786,0.6056517958641052,0.03984509035944939,0.10863465070724487,16.98493003845215,0.48921477794647217,0.5851877331733704,0.001
21,16.954286575317383,0.15213041007518768,0.6055912971496582,0.039277080446481705,0.10712325572967529,16.95429039001465,0.49623939394950867,0.5897771716117859,0.001
22,17.055864334106445,0.15663164854049683,0.6059271693229675,0.04099079594016075,0.11166354268789291,17.05585289001465,0.47526583075523376,0.5731484293937683,0.001
23,17.07740592956543,0.15634667873382568,0.6058953404426575,0.0414687916636467,0.11298438906669617,17.07741355895996,0.4697887897491455,0.5830839276313782,0.001
24,16.9685115814209,0.14996518194675446,0.6062232255935669,0.03894887864589691,0.10586559027433395,16.968515396118164,0.49914103746414185,0.5932109355926514,0.001
25,16.925365447998047,0.1518269181251526,0.6057050228118896,0.03856487572193146,0.1051466315984726,16.925369262695312,0.505094051361084,0.5851895213127136,0.001
