target intercept intra para.35 p.intercept p.intra p.para.35
Fibroblast 0.0525719463940881 0 0.46253070764514 NA 1 1.87203104121494e-05
Epithelial -0.00401748331686867 0 0.99155033762943 NA 1 2.88462417745536e-69
Imm_other 0.0145769297992648 0 0.910743394623998 NA 1 1.61034494902606e-39
Endothelial 0.0278488856823361 0 0.584272959806595 NA 1 6.38745917731477e-12
Myeloid_CD68 0.0099523968586947 0 -0.0986355730155512 NA 1 0.482000982829537
Tcell_CD4 0.0196998783150017 0 0.784788377482321 NA 1 1.49436538698044e-19
Tcell_CD8 0.0277364860158443 0 0.776219106415315 NA 1 3.68975554389056e-30
Myeloid_CD11c 0.0085184713850987 0 0.816591726229412 NA 1 6.2991740095882e-35
