target intra.RMSE intra.R2 multi.RMSE multi.R2 p.RMSE p.R2
ASCT2 0.037168794464351 76.4487526512399 0.0371312659919387 76.4948489571178 0.484189463228258 0.478601936675686
CD14 0.035713494897322 87.4287940081051 0.0355555969682657 87.5240891877622 0.452527393610857 0.476443705294492
CD31 0.0417260290643377 71.2073120006717 0.041527920152627 71.503647860558 0.461944849482994 0.450065262276944
CD39 0.0315109877399618 90.1362483413413 0.0315292361937535 90.124411136104 0.509162764508144 0.507386840472349
ATP5A 0.0347871578679366 92.5191964898055 0.0344947177335611 92.6436991441613 0.351545792278449 0.324994685958881
CD45 0.0268706162762304 82.8564210143682 0.0267261203411228 83.0508277364198 0.434967480170086 0.451512989692141
CD3 0.0343830968171169 88.2139687394316 0.0341401879578712 88.382252334272 0.390756423930543 0.416032526829507
CD68 0.0443346366100228 86.3833971219387 0.0443195818433627 86.3874878717144 0.495452001302853 0.498327814279898
CK 0.0323276464070019 92.4149483628186 0.0322865338385645 92.4409280498279 0.487023740290487 0.481729729973678
CD36 0.0387115985843933 73.4439907005767 0.0382988104002939 74.0335093164539 0.415011551465053 0.4085076327146
CS 0.0339080621895566 86.843393603706 0.0339441012599621 86.8148065615169 0.513093193082774 0.512162252649924
G6PD 0.0367339913413403 68.9248899267637 0.0367519206790065 68.8965016245574 0.506651530846552 0.507277098438584
H3 0.0396481555305722 89.553437484353 0.0394864814941442 89.6454537174919 0.455195844238469 0.447151012816574
CD11c 0.0389366558579108 54.1860598710993 0.0384608788154803 55.4072372725731 0.33938212576289 0.313045272797084
CD4 0.031613201596507 90.3379127454263 0.0314165912642286 90.4579025587028 0.408744190384433 0.399807288010384
CD57 0.0373003710214015 57.6364877536828 0.0373166938934997 57.6008668171666 0.507759524080679 0.506549438260689
HK1 0.0296985422213996 77.5931673689756 0.0296938480516702 77.603027490494 0.497787106786636 0.496754049887572
LDHA 0.0320118033027724 92.7162754206761 0.0317951184280463 92.8212792833323 0.419437842627391 0.431124933892248
CD8 0.0369306647241763 74.1819893780371 0.036903181085255 74.2113045170689 0.493674363800099 0.495872073783024
CPT1A 0.036604140265279 92.7510988262794 0.0364756034340679 92.8066634089076 0.456036681428792 0.463018253699403
PKM2 0.0295901796521356 69.2476851024028 0.0295334457036242 69.3584708432763 0.472973871012096 0.479977769089312
NaKATPase 0.0326893513841835 87.9789649079275 0.0327035925394772 87.9680132314692 0.503998657121169 0.505978410511055
Ecad 0.0383556446509195 91.033001207064 0.0383610876778895 91.0313459069656 0.501415096160594 0.500645582810127
SDHA 0.0412737437207765 90.3553548467846 0.0412749066836025 90.3549611387541 0.500288212060145 0.500223233038928
HIF1A 0.041628291577327 85.7085615442118 0.041453186757753 85.8481171353597 0.461661394023827 0.449053866722076
VDAC1 0.0346814249193989 74.1667758855297 0.0346812072474823 74.1658956102381 0.499893126405312 0.500692419770884
GLUT1 0.0349068723236136 89.9634877670979 0.0345450797942474 90.1775905527707 0.300251292215736 0.346404150634779
IDH2 0.0335814093656094 92.0005422272352 0.0336193978774382 91.9805672475851 0.517135202350251 0.51508680834774
NRF2p 0.0384745576250052 88.7655147286071 0.038181716979878 88.9393792229771 0.35926646565571 0.363659488858362
CD98 0.0394467447644037 88.5736262794774 0.0393751954063041 88.6118999046488 0.475191517676453 0.479032651511292
S6p 0.0356097594674828 90.5627511332355 0.0356250226591489 90.5569180982511 0.506282695432324 0.504335776549021
PD1 0.0406609237981167 79.5749240574943 0.0403506416021285 79.8865926339055 0.425458775799247 0.399924482688198
SMA 0.0348369521057827 75.49045373775 0.0340755850196928 76.6179191907372 0.342947718953043 0.319967485223132
XBP1 0.0339916773377688 77.284467736099 0.0340135137852558 77.2537836171447 0.50872264371314 0.509413192126704
Ki67 0.036759299789276 80.7719166664776 0.0363018622456023 81.2905620100054 0.413550721017488 0.402651784634912
vimentin 0.0401631629581135 87.1573418577013 0.0401984730732436 87.1292336619228 0.51323554958489 0.511336263470134
