target intra.RMSE intra.R2 multi.RMSE multi.R2 p.RMSE p.R2
ASCT2 0.0760371154182332 55.4561975293334 0.0761159182414653 55.3607891320139 0.506138188594038 0.507209842927041
ATP5A 0.0637648034396621 86.2686555871586 0.0638347799889577 86.2379149361704 0.509682782364126 0.509279426739309
CD14 0.0713274906424788 69.682640580028 0.0715353132240699 69.4700302537054 0.522368524702004 0.524438216232201
CD11c 0.0749105041228766 26.6681469952146 0.0750306241285525 26.4329203091084 0.515606553175105 0.513903909557363
CD3 0.0642253602228311 62.0782495064717 0.0643385651503261 61.9728401144296 0.510379197753215 0.510018069371894
CD31 0.0682923841103037 51.8410935314578 0.0683816400110517 51.7866007328728 0.505576237323934 0.502806888390157
CD39 0.0609062088213249 75.9632260693049 0.0609216538091 75.9900538532815 0.501539065034439 0.497194153061642
CD36 0.0677953085052867 53.3397211893169 0.0677263150992329 53.4432695557511 0.494855636911996 0.492663056305499
CD4 0.061233196434357 65.9252987815134 0.0609582215131437 66.3037343011834 0.468393529412792 0.44993571375137
CD45 0.0641974662242483 72.3058706322276 0.0643047023169863 72.2256957035136 0.511815220237957 0.50989456703711
CD68 0.0752725112792869 85.9873745853185 0.0753674110577989 85.9487379220935 0.509307246190213 0.507269660465362
CD57 0.0779996091381157 43.829684279945 0.0781240390054517 43.6690974356643 0.510109926983031 0.513598018654638
CK 0.0568073921554369 86.3253867658026 0.0567140682593824 86.3858393006209 0.489248928472816 0.484323613177646
CD8 0.0707755342293239 45.6968754568176 0.0708501786406196 45.5884316219809 0.505960192972848 0.509230239419026
CPT1A 0.0632598827794644 85.1119780290384 0.0632104426860525 85.1355723834809 0.495515864632622 0.495733179047775
CS 0.0677766089391292 77.4376922826997 0.067678344955704 77.5585371919673 0.487609176096514 0.477156829260039
CD98 0.0733684529630074 75.1203741497337 0.0735011538212658 75.0070792473319 0.519880607692489 0.521750888316033
Ecad 0.0574503076957201 84.4537168314583 0.0575009175947785 84.4261256575218 0.505621440113734 0.506365824307387
G6PD 0.0803196015205347 45.8146570558981 0.0801736925755702 46.0123078999737 0.48005809138595 0.471041506855513
GLUT1 0.0704237401592724 67.749401867046 0.0704723715580028 67.7511335585109 0.504951925545652 0.499792355425266
H3 0.085656297949663 76.1243000688322 0.0853977670456667 76.2772967263319 0.474532498662541 0.472683012407534
HIF1A 0.068870876572262 76.15443032571 0.0690883275731302 76.0124011784989 0.520609323003266 0.51941366672306
HK1 0.0613373750475415 46.6180782105133 0.0614529356049668 46.4064136797731 0.510129837779531 0.519265041687701
IDH2 0.0572307278101052 81.7906091201116 0.0573284549427632 81.7307563462048 0.517876682561896 0.513450572884392
LDHA 0.0559639784976636 76.5707452345597 0.055788710565692 76.7697223780139 0.481145094926046 0.477368230224807
Ki67 0.0665884467044001 60.3223696347679 0.0667092871285846 60.188202508008 0.507731818614975 0.509052228921058
NaKATPase 0.0608791339268187 80.8831714891947 0.0610015010807172 80.8080275318441 0.516320292864276 0.512924671318217
NRF2p 0.0628850141204636 82.248065722735 0.0629286588004016 82.235194903671 0.503992224669662 0.501148256799282
PKM2 0.0589956378132471 47.5842904441655 0.0590583528737999 47.4845821033584 0.507102879394502 0.504809060478687
PD1 0.060735761655148 42.7953070904985 0.0605358403737565 43.1798422480367 0.490462521660161 0.478500636465271
S6p 0.0690852964782767 83.6117747937884 0.069101305930999 83.6103392029197 0.501902699269003 0.500226509648959
SDHA 0.0713989557180162 80.9841320486676 0.0714840007116049 80.9164691456278 0.50578302217493 0.511815794477892
VDAC1 0.0754258192257299 58.6784228926781 0.0752912360849489 58.8397431445963 0.484579739641724 0.479931766045133
SMA 0.0729338155056924 57.0307864262751 0.0730935427589451 56.8424661896034 0.518117714007198 0.525081740759678
XBP1 0.0740995763724853 52.6158680603345 0.0741271391241079 52.5848668880228 0.502480932776847 0.503233078082113
vimentin 0.0653749452949607 88.2605564650058 0.0652951459664937 88.2836714207516 0.488797939200883 0.490995714740453
