target,imp
ASCT2,0.970537251124911
ATP5A,1.4450392119359858
CD11c,0.9850466463443108
CD14,0.9327782778494995
CD3,0.7894849279187333
CD31,0.9400822411386762
CD36,0.8985039005484085
CD39,1.4879204991389947
CD4,0.8024541557510879
CD45,0.8725348775396168
CD57,1.1847000943001917
CD68,0.8393688786578782
CD8,0.945444877246755
CD98,0.77283500518052
CK,0.9291356281398921
CPT1A,1.2686803126606199
CS,0.8168626159069992
G6PD,0.8921910799724907
GLUT1,1.415901221356433
H3,0.799099339447766
HIF1A,0.8114688299610744
HK1,1.5097051875325418
IDH2,0.881679254207843
Ki67,0.9401587825794114
LDHA,1.1289300931514235
NRF2p,1.3211238375647367
NaKATPase,0.9436468255635497
PD1,1.016814841777344
PKM2,1.0386077108751948
S6p,1.1546151376585754
SDHA,1.0341897678252208
SMA,1.1297979154095268
VDAC1,0.8323774400594521
XBP1,0.8426770465118133
vimentin,1.1672674926619167
