target intercept intra para.35 p.intercept p.intra p.para.35
Fibroblast 0.0341665099865857 0 0.348849670968962 NA 1 0.00240805435079659
Imm_other 0.170596921684612 0 0.588449288644026 NA 1 5.93057080763914e-08
Epithelial 0.198884145553487 0 0.383146098118777 NA 1 0.000459550276608006
Myeloid_CD68 0.0411449313856907 0 0.486340517302314 NA 1 4.23620262346833e-05
Endothelial 0.00153281926769073 0 -0.0177507617620627 NA 1 0.873375834794728
Tcell_CD4 0.0471288105946101 0 0.335222387737462 NA 1 0.00291198885153623
Tcell_CD8 0.022939107147642 0 0.133356493940937 NA 1 0.25811200891356
Myeloid_CD11c 0.00729747688560341 0 0.0232908599007097 NA 1 0.850806887495882
