target,imp
ASCT2,0.552455768748311
ATP5A,1.2236800284671911
CD11c,0.5921460071404756
CD14,0.6625997422789609
CD3,0.47508261051215384
CD31,0.488987393586493
CD36,0.5466033154010436
CD39,1.6395838788320745
CD4,0.6295835365804602
CD45,0.7448762039948257
CD57,0.5762940195817722
CD68,0.5873583059607802
CD8,0.5467878176196826
CD98,0.5366274745786437
CK,0.561362197957855
CPT1A,1.1166942097815735
CS,0.8550157771295059
Ecad,0.51455856096978
G6PD,0.6124109469233301
GLUT1,0.6678178118078639
H3,0.5661594874504715
HIF1A,0.5325324976108674
HK1,0.69680031020918
IDH2,0.7016416011642608
Ki67,0.7076618696307669
LDHA,0.9862041829439662
NRF2p,1.619908948629565
NaKATPase,0.5048295441270543
PD1,0.549107679734222
PKM2,0.694616294734407
S6p,1.002503649857175
SMA,1.0462947491678434
VDAC1,0.5778647676229642
XBP1,0.83616603494419794
vimentin,0.8279756603679651
